,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15,Comp.16,Comp.17,Comp.18,Comp.19,Comp.20,Comp.21,Comp.22,Comp.23,Comp.24,Comp.25,Comp.26,Comp.27,Comp.28,Comp.29,Comp.30,Comp.31,Comp.32,Comp.33,Comp.34,Comp.35,Comp.36,Comp.37,Comp.38,Comp.39,Comp.40,Comp.41,Comp.42,Comp.43,Comp.44
acc_open_past_24mths,-0.142904021,-0.193520591,-0.218826578,0.090261361,0.086396367,-0.18723388,-0.198959482,0.01539022,0.070100305,0.049091718,0.211620813,-0.017488268,0.004065842,0.047376358,-0.037795792,-0.006846992,0.060118425,0.014140061,0.170131069,0.050235308,0.020149758,-0.023787753,0.103393241,0.126838893,0.047950055,-0.171012154,0.401918595,-0.021603925,0.071463532,-0.60510343,0.312445867,-0.014056656,-0.038539736,0.000707588,0.004736729,-0.011374599,-0.12706052,-0.046102668,0.01573237,0.013537499,0.037989094,-0.012138131,0.003370511,0.002075289
avg_cur_bal,-0.168138096,0.382306135,0.008092297,-0.00268752,0.077975937,0.033662463,0.058219249,-0.083553781,0.259110264,-0.042045928,0.13090334,0.025283768,0.008262217,0.030689387,-0.032648364,-0.021031682,0.021377098,-0.025151524,0.130583743,0.020088046,-0.004754146,0.00365829,0.037512162,-0.054285035,-0.07341077,-0.236949117,-0.06816843,0.016799847,-0.182636184,0.049917651,0.006386574,0.06779333,-0.051138709,0.039682812,-0.207073554,0.002209961,-0.335470398,0.017989852,-0.640532482,-0.091797632,-0.043876597,-0.005552985,0.090411755,0.007441377
bc_util,-0.096294815,0.019796961,0.165086153,0.105471938,-0.476139546,-0.046413941,0.131032339,-0.268076522,0.001587837,0.06115094,0.164754228,-0.004041691,0.062308588,0.040826902,-0.027281075,0.031030082,0.043108229,0.019777801,0.023203692,0.026987237,0.065637945,0.045895093,-0.037285443,0.013526376,0.043020576,0.148699686,-0.014713403,0.046156654,-0.129310762,-0.164720544,0.083563398,0.006352154,0.060324733,-0.185133389,0.033309963,0.032755985,0.495356166,-0.377025259,-0.246797635,-0.136033437,-0.006270469,0.00190528,0.004194135,0.01069195
chargeoff_within_12_mths,-0.003834543,0.015185776,-0.032552425,0.056548277,0.019289575,0.02219121,0.005187924,-0.065270792,-0.143271809,-0.346126927,-5.12E-05,0.378494146,-0.017444467,-0.009169643,0.006280363,-0.047540687,0.229517194,0.762367186,0.102182594,-0.020009023,-0.037165542,-0.189215241,-0.093535821,0.07459952,-0.056230305,-0.007322338,-0.024505724,-0.039360963,-0.021052157,-0.011850656,-0.039403591,0.00654239,-0.003040016,-0.006058133,0.006432714,-0.001802308,-0.005273798,-0.005243953,0.003972723,-0.005501771,0.010269969,0.0003574,-0.001093181,0.002199054
delinq_amnt,-0.004426276,0.013162782,-0.008564349,0.00055247,0.01776704,0.010619023,0.005990652,-0.049942169,-0.056157813,-0.31042456,0.070612273,-0.661537703,0.007280704,0.092237613,-0.058408155,0.019497209,0.038255942,0.181507781,0.063439711,-0.607019246,-0.027602028,0.167076299,0.06212162,0.000618781,-0.040691123,0.017084176,0.010032816,-0.02448442,0.002951335,-0.007237624,-0.009762955,-0.001485595,0.000776489,-0.004338512,0.002503955,0.000475388,-0.001209295,0.000297849,-0.00146896,0.001322463,0.002499118,-7.29E-05,0.000672284,0.001145007
mort_acc,-0.175605763,0.194346658,-0.006876164,0.105796678,0.124053634,0.032829098,-0.047262214,-0.018779154,0.196746372,-0.15214489,0.117015972,0.112678014,0.073896348,0.064853054,-0.037435582,-0.030914156,-0.270411633,-0.076849669,0.186920026,-0.073605573,-0.106771429,-0.042748984,-0.242087869,0.048306613,0.187893406,0.541689924,-0.088729464,0.015238685,0.379378815,-0.071662184,-0.028963901,-0.184812627,0.048115112,0.136758995,0.158231482,-0.027425201,-0.128517276,-0.115855828,0.002241816,-0.09121487,-0.034190218,-0.000852041,0.010402668,0.00550485
mths_since_recent_bc,0.004416719,0.194136111,0.100090961,-0.00660108,-0.219389131,-0.033889547,0.076474756,0.024299661,-6.36E-05,-0.165824892,-0.239266188,0.059211492,-0.006171365,-0.096767072,0.070586592,-0.000247129,-0.120042139,-0.144719784,-0.304799257,-0.184048807,-0.619505067,-0.249924292,-0.16171682,0.161151731,0.065136161,-0.204306248,0.134053334,0.04689253,-0.109297891,-0.193258501,0.077185549,-0.062172166,-0.037428799,0.064876205,-0.00450166,-0.002264445,-0.012209062,0.000360357,0.0386022,0.023996249,-0.015377978,-8.86E-05,-0.002638631,0.002866768
mths_since_recent_bc_dlq,-0.009139777,0.017937041,-0.191940632,0.368587293,-0.057735057,0.171028951,0.108949398,0.105793088,0.066706836,0.046340591,-0.111037674,-0.082283695,-0.043603612,0.020731335,0.015001033,-0.011625813,0.060645003,0.01781724,-0.022383731,0.068249291,-0.028976688,-0.020854824,0.036110314,-0.00889066,-0.49620548,0.105930851,0.129437091,0.630736704,0.065489974,-0.082134981,-0.200769318,0.017795812,-0.003712518,0.003253539,0.035454998,-0.004177103,-0.037254237,-0.036354136,0.015927613,-0.014274538,-0.053702386,-0.002276384,0.00233434,-0.002397109
pub_rec_bankruptcies,0.031978318,-0.060717834,-0.076971645,0.039122665,-0.026598001,-0.123503877,-0.126695528,0.066763719,0.178597233,-0.02398523,0.321964342,-0.018945852,0.21898102,-0.132562811,0.061013779,-0.045235911,-0.546539227,0.331684731,-0.453430607,0.098655135,-0.012040737,0.235912445,-0.028987915,-0.168279669,-0.07317497,-0.056382177,0.002953268,0.052877657,-0.114035609,0.0509764,0.03260436,-0.005560948,0.005489279,-0.046081444,0.024455739,-0.004749849,-0.038146421,-0.0026383,0.028098841,-0.025097089,0.028948446,0.003212294,-0.001177157,0.005326121
tax_liens,-0.004330047,-0.002329398,-0.029639488,0.00867721,-0.013396102,0.019127262,0.030147096,0.061622828,0.017075279,-0.033360801,0.166294851,-0.08663824,0.129445818,-0.808596342,0.413621216,-0.08661482,0.190635767,-0.080409539,0.187321767,-0.060848678,0.035777082,-0.064169997,-0.096401317,-0.085204595,0.024284839,0.053508416,0.014750456,0.012329576,0.002632075,-0.004919153,-0.008080367,0.007082191,-0.003622334,-0.01963483,-0.005730855,0.001816824,0.004715092,0.006798984,-0.001530903,-0.000715447,0.001535346,-0.000171599,-0.002750765,-0.001130813
tot_hi_cred_lim,-0.273009013,0.290030279,-0.035225035,-0.027097342,0.175688101,0.035835827,0.037019308,-0.120356356,0.169469527,-0.00093131,0.057730772,0.007010575,0.009480467,0.008755817,-0.016223989,-0.018501831,-0.011482136,-0.012829868,0.088628821,0.011675228,-0.002695475,-0.024069558,0.034190583,-0.035439472,-0.065075725,-0.164919643,-0.020937806,0.003845431,-0.090279478,0.030922531,0.000222237,0.04761045,-0.016732426,-0.108673337,0.069634222,0.015552102,0.242632333,-0.00855267,0.422691222,0.055822611,0.066259569,0.009493365,0.664340423,-0.013991271
Fico_Avg,-0.195517584,-0.039843155,0.033281941,0.009175615,-0.253750678,-0.226560743,-0.087491438,0.261113899,0.283409273,-0.267714257,-0.223682671,0.04010713,-0.084879112,-0.003841288,0.022212981,0.011990085,0.095657534,-0.039622259,0.036953962,0.042267281,0.037412808,0.072830942,0.181816469,-0.144731603,-0.02270712,-0.050120131,0.006486488,-0.03079681,0.124678731,0.117534658,-0.038751515,-0.052772666,0.015935969,0.010023446,0.017326287,-0.004347694,0.002676534,-0.029513183,0.022236147,-0.208018765,0.627527916,0.028788067,-0.059279025,0.015860069
total_bal_ex_mort,-0.244653672,0.148184778,-0.105684217,-0.046661322,-0.001947421,-0.142091459,-0.034903552,-0.173543123,-0.225926806,0.227796564,-0.154962417,-0.104743591,-0.020465891,-0.075799463,0.044610026,0.016339623,0.050279095,0.114863309,-0.1959302,0.010984247,0.091888019,-0.055280114,0.033999983,-0.132924622,-0.05669315,-0.118104263,0.020358847,-0.053075275,0.185527765,-0.038722512,-0.042668208,-0.29230938,0.182005776,0.203039502,0.517078247,-0.039645472,0.089968129,0.242865754,-0.25879876,-0.013925035,-0.003129475,-0.007074855,0.034871983,-0.004223936
num_accts_ever_120_pd,-0.001790136,0.045207249,-0.228509483,0.3314034,-0.024961859,0.133471494,0.082996451,-0.012615157,-0.106497654,-0.166725341,-0.08296682,0.122142014,-0.019842187,-0.001700285,-0.015030834,0.015980126,0.048286988,-0.042522421,-0.04013487,-0.060644623,0.089523175,0.190780983,0.076028477,-0.226602415,0.585043691,-0.201178633,0.034620399,0.312614477,0.039768091,0.204728052,0.307658307,-0.051822636,0.030429986,0.011142232,0.005406937,0.003176091,0.014352121,-0.003733896,0.020057837,0.004586705,-0.114744349,-0.004152823,0.005230964,-0.013471467
num_actv_bc_tl,-0.247773069,-0.323904343,0.062163425,-0.021460525,0.039152146,0.144336626,0.131290203,-0.105260983,0.019271119,-0.005053583,-0.02844411,0.002350851,0.022988065,-0.019452589,0.014885097,0.011890087,-0.009725881,0.001968825,0.017336129,0.013678669,-0.055200055,0.064890612,-0.006265659,-0.025828887,-0.009469938,-0.038170884,-0.218468051,0.055795838,-0.192046438,-0.016518429,0.023946041,-0.105701295,-0.053065886,0.2997786,0.128036087,-0.030147314,-0.165676624,-0.37010885,-0.04086808,0.587589494,0.210147451,0.00905646,0.004333505,-0.027514546
num_actv_rev_tl,-0.242825744,-0.346259182,0.031223092,0.039435584,-0.003269409,0.096316807,0.086933044,-0.173957726,0.003606111,-0.019267437,0.055353412,0.021947935,0.058955728,-0.00848951,0.002209212,0.005508406,-0.071361772,-0.047576689,0.029732229,-0.021483348,-0.130188516,-0.02645423,-0.044596324,0.128576502,-0.028420844,-0.185433852,0.021701886,-0.026308197,0.195666958,0.174123232,-0.078990884,0.11237972,0.073515285,-0.184748696,0.0451107,-0.008186746,-0.07868038,0.053973116,-0.029202455,-0.204596229,-0.035870185,-0.001072544,-0.007167013,-0.707457465
num_bc_sats,-0.244968075,-0.30486291,0.016945762,-0.044189523,0.154857674,0.113511487,0.062282631,0.019773089,0.039505248,-0.045065419,-0.095029398,0.011147039,-0.014155553,-0.016223959,0.019634943,0.00462225,-0.004606341,0.002588065,-0.016677476,0.000949023,-0.031291109,0.053726736,0.014896467,-0.090357622,-0.01532358,0.05993929,-0.207130327,0.032967897,-0.285946731,-0.183525142,0.042943696,-0.146891836,-0.112050286,0.4292125,-0.193153809,0.03433509,0.196289193,0.166239378,0.054651834,-0.505180401,-0.165486243,-0.008146825,0.011690905,0.059984064
num_il_tl,-0.13680257,0.057836441,-0.193559379,0.102209383,-0.070938431,-0.329507629,-0.240570976,-0.121501934,-0.27955458,0.097936928,-0.217871508,-0.024004007,0.029455765,-0.037909288,0.050093329,0.040705194,-0.148068825,-0.037863406,0.073337581,-0.096531864,0.163994002,-0.147100288,-0.041855065,0.095142681,0.017791132,0.039614943,-0.025405473,0.012310781,-0.31273797,0.161376408,-0.097148387,0.135689536,-0.108443787,0.015982716,0.062921235,-0.037180568,-0.316353715,-0.373409825,0.150296924,-0.255929343,-0.066900181,0.000190714,0.013316386,0.011882512
num_rev_tl_bal_gt_0,-0.242101936,-0.342495202,0.036287652,0.039990125,-0.010617239,0.093530085,0.085074857,-0.176384423,-0.000571917,-0.017111165,0.045425093,0.020457112,0.058133771,-0.010365119,0.003302173,0.006898024,-0.072928141,-0.047949631,0.04242095,-0.018323648,-0.125631766,-0.022842411,-0.046477971,0.133866178,-0.026689094,-0.191774155,0.034106286,-0.01333348,0.213694652,0.201663828,-0.061724829,0.107563552,0.077985631,-0.225745178,0.065667716,-0.011772295,-0.093188564,0.057554254,-0.027626915,-0.108607785,-0.049188142,-0.000259204,0.013354788,0.701646515
pct_tl_nvr_dlq,-0.195053248,-0.095337275,0.111203505,-0.088424133,-0.268274458,-0.288026254,-0.125434448,0.204170485,0.29305175,-0.151151603,-0.130721375,-0.015721439,-0.054030863,-0.003872291,0.007317511,0.015147111,0.061078082,0.050969466,0.062351036,0.055009779,0.043211526,0.005534515,0.124875181,-0.09025731,-0.01668711,-0.032569396,0.01175185,-0.02736621,0.107282121,0.083543836,-0.07687461,-0.04192308,0.000550544,0.028445173,-0.010504279,0.001198645,0.012240096,-0.032659162,0.037569461,0.238679669,-0.677919419,-0.03398058,0.043051541,-0.026247521
total_bc_limit,-0.238251861,-0.047916957,0.079793154,-0.162296443,0.225932793,0.120858878,0.060918897,0.154554974,0.020953644,-0.00474913,-0.263151143,-0.025536323,-0.092438253,-0.014743921,0.024805061,-0.002406456,0.047593431,0.055873558,-0.150265825,-0.004892488,0.01168269,-0.001869031,-0.010166987,-0.19789674,0.077533326,0.279259664,-0.000742743,0.041240019,-0.244924771,-0.182183405,0.12727017,-0.069132242,-0.047893745,-0.639701444,0.15374376,-0.026542326,-0.14683145,0.015223591,-0.081528287,-0.009540389,-0.03816742,-0.007262689,-0.043679736,-0.013596225
